VendorName,TotalSales,TotalPurchaseCost,TotalGrossProfit,AvgProfitMargin,TotalQtySold,TotalQtyOnHand,NumberOfTransactions
Apex Supplies,10597298.93,5783289.91,4814009.02,41.8,22178,55135,224
Heritage Inc.,9745354.37,5548532.64,4196821.73,40.77,20265,47310,200
Eagle Exports,9324042.74,5283856.89,4040185.85,40.06,20430,54130,208
Cardinal Goods,9305953.54,5163985.97,4141967.57,40.94,20207,49214,205
Icon Wholesale,9303099.04,5052140.29,4250958.75,42.96,19293,46810,194
Junction LLC,9194873.9,5061119.85,4133754.05,41.63,20267,50336,208
Blue Ridge Co.,8770625.24,4895567.95,3875057.29,41.11,20148,47156,196
Delta Traders,8469914.05,4790420.71,3679493.34,40.39,17808,44216,181
Global Mart,7783590.95,4358713.22,3424877.73,40.49,18015,47965,193
FairWay Corp.,7345041.39,4187423.14,3157618.25,41.26,18422,46452,191
