VendorName,Brand,Category,PurchasePrice,ActualPrice,QuantitySold,QuantityOnHand,TotalSales,TotalPurchaseCost,GrossProfit,PurchaseDate,Month,MonthName,Quarter,Year,ProfitMargin,MarkupRatio
Global Mart,Brand G,Clothing,305.61,687.96,66,227,45405.36,20170.26,25235.1,2023-07-25,7,Jul,3,2023,55.58,2.251
Delta Traders,Brand D,Sporting Goods,241.97,521.2,30,162,15636.0,7259.1,8376.9,2023-05-17,5,May,2,2023,53.57,2.154
Heritage Inc.,Brand H,Health & Beauty,39.26,83.47,20,235,1669.4,785.2,884.2,2023-12-02,12,Dec,4,2023,52.97,2.126
Eagle Exports,Brand E,Office Supplies,339.1,788.97,188,127,148326.36,63750.8,84575.56,2023-09-28,9,Sep,3,2023,57.02,2.327
Global Mart,Brand G,Electronics,295.28,623.6,82,199,51135.2,24212.96,26922.24,2023-02-14,2,Feb,1,2023,52.65,2.112
Junction LLC,Brand J,Electronics,495.2,705.45,107,449,75483.15,52986.4,22496.75,2023-07-21,7,Jul,3,2023,29.8,1.425
Cardinal Goods,Brand C,Food & Beverage,127.19,265.55,152,389,40363.6,19332.88,21030.72,2023-05-01,5,May,2,2023,52.1,2.088
Global Mart,Brand G,Office Supplies,270.06,413.4,132,30,54568.8,35647.92,18920.88,2023-06-15,6,Jun,2,2023,34.67,1.531
Heritage Inc.,Brand H,Furniture,328.97,473.4,37,137,17515.8,12171.89,5343.91,2023-03-13,3,Mar,1,2023,30.51,1.439
Eagle Exports,Brand E,Sporting Goods,325.85,391.74,132,491,51709.68,43012.2,8697.48,2023-04-05,4,Apr,2,2023,16.82,1.202
Delta Traders,Brand D,Food & Beverage,285.03,610.43,77,20,47003.11,21947.31,25055.8,2023-12-04,12,Dec,4,2023,53.31,2.142
Heritage Inc.,Brand H,Furniture,390.69,818.65,89,233,72859.85,34771.41,38088.44,2023-11-17,11,Nov,4,2023,52.28,2.095
Heritage Inc.,Brand H,Clothing,110.44,157.74,146,201,23030.04,16124.24,6905.8,2023-06-18,6,Jun,2,2023,29.99,1.428
Cardinal Goods,Brand C,Sporting Goods,365.56,785.64,88,278,69136.32,32169.28,36967.04,2023-02-17,2,Feb,1,2023,53.47,2.149
FairWay Corp.,Brand F,Clothing,313.67,748.1,194,130,145131.4,60851.98,84279.42,2023-11-03,11,Nov,4,2023,58.07,2.385
Eagle Exports,Brand E,Office Supplies,449.08,561.91,176,415,98896.16,79038.08,19858.08,2023-05-24,5,May,2,2023,20.08,1.251
Blue Ridge Co.,Brand B,Health & Beauty,425.13,606.1,33,147,20001.3,14029.29,5972.01,2023-08-25,8,Aug,3,2023,29.86,1.426
Heritage Inc.,Brand H,Sporting Goods,164.42,353.56,58,457,20506.48,9536.36,10970.12,2023-11-11,11,Nov,4,2023,53.5,2.15
FairWay Corp.,Brand F,Furniture,145.36,215.76,28,28,6041.28,4070.08,1971.2,2023-12-25,12,Dec,4,2023,32.63,1.484
Blue Ridge Co.,Brand B,Health & Beauty,491.01,969.51,35,360,33932.85,17185.35,16747.5,2023-02-01,2,Feb,1,2023,49.35,1.975
Eagle Exports,Brand E,Electronics,268.36,325.69,125,307,40711.25,33545.0,7166.25,2023-02-18,2,Feb,1,2023,17.6,1.214
